time,arrivals,service_starts,service_ends,minute
16:42,0,0,0,0
16:43,5,0,0,1
16:44,0,4,2,2
16:45,0,2,2,3
16:46,4,2,2,4
16:47,2,2,2,5
16:48,2,1,2,6
16:49,0,1,1,7
16:50,3,1,0,8
16:51,3,0,0,9
16:52,0,2,3,10
16:53,0,0,1,11
16:54,0,0,0,12
16:55,6,2,0,13
16:56,0,0,0,14
16:57,0,1,2,15
16:58,3,1,1,16
16:59,0,2,2,17
17:00,0,1,2,18
17:01,0,1,0,19
17:02,0,0,1,20
17:03,0,0,0,21
17:04,0,2,0,22
17:05,0,0,1,23
17:06,0,0,0,24
17:07,0,0,0,25
17:08,0,1,2,26
17:09,2,2,0,27
17:10,0,0,2,28
17:11,0,0,0,29
17:12,0,2,1,30
17:13,0,0,1,31
17:14,0,1,0,32
17:15,0,0,1,33
